index,reference,zero_shot_translation,single_agent_translation,improved_translation,bleu_zero_shot,bleu_single_agent,bleu_improved,meteor_zero_shot,meteor_single_agent,meteor_improved,bleurt_zero_shot,bleurt_single_agent,bleurt_improved,comet_zero_shot,comet_single_agent,comet_improved
396,"Please take time to check whether your system meets the requirements listed on the package. With the help of the DirectX diagnostic program, you can get an overview of your system if you are not sure whether your PC meets the requirements. Please do the following to bring up the DirectX diagnostic program: Click on the ""Start"" button and choose the ""Execute"" option. Enter ""dxdiag"" into the text field. The user interface of the DirectX diagnostic program will now be shown. Here you have access to all relevant system details, including information about the graphics and sound card. You can also check whether the graphics and sound are working correctly by clicking on the appropriate buttons to test DirectDraw, Direct3D, and DirectSound. Note: If you do not have advanced computer skills, we would advise you against changing any of the options in the DirectX diagnostic program. Before starting the game","Please take the time to check if your system meets the requirements listed on the packaging. You can use the DirectX Diagnostic Tool to get an overview of your system if you are unsure whether your PC meets the requirements. Please follow these steps to access the DirectX Diagnostic Tool: Click the ""Start"" button and select the ""Run"" option. Enter ""dxdiag"" in the text field. The DirectX Diagnostic Tool interface will now be displayed. Here you have access to all relevant system details, including information about the graphics and sound card. Among other things, you can check whether graphics and sound are working correctly by clicking on the corresponding buttons to test DirectDraw, Direct3D, and DirectSound. Note: If you do not have advanced computer skills, we would advise you not to change any of the options in the DirectX Diagnostic Tool.","Please take the time to check if your system meets the requirements listed on the packaging. If you are unsure whether your PC meets the requirements, you can use the DirectX Diagnostic Tool to get an overview of your system. To access the DirectX Diagnostic Tool, please follow these steps: Click the ""Start"" button and select the ""Run..."" option. Enter ""dxdiag"" in the text field. The DirectX Diagnostic Tool interface will now be displayed, providing access to all relevant system details, including information about the graphics and sound card. Additionally, you can check whether graphics and sound are working correctly by clicking the corresponding buttons to test DirectDraw, Direct3D, and DirectSound. Note: If you do not have advanced computer skills, we advise you not to change any of the options in the DirectX Diagnostic Tool before starting the game.","Please take the time to check if your system meets the requirements listed on the packaging. If you are unsure whether your PC meets the requirements, you can use the DirectX Diagnostic Tool to get an overview of your system. To access the DirectX Diagnostic Tool, follow these steps: Click the ""Start"" button and select ""Run"". Enter ""dxdiag"" in the text field. The DirectX Diagnostic Tool interface will then be displayed, providing access to all relevant system details, including information about your graphics and sound card. Among other things, you can check whether graphics and sound are working correctly by clicking the corresponding buttons to test DirectDraw, Direct3D, and DirectSound. Note: If you do not have advanced computer skills, we advise you not to change any of the options in the DirectX Diagnostic Tool before starting the game.",0.5868,0.5148,0.4782,0.7682,0.7304,0.6955,0.7575,0.7806,0.7698,0.8717,0.8754,0.8743
397,"It is possible that other programs are using the system resources that the game requires to run correctly. It is not obvious that all of these programs are active, and many start automatically when the system is booted. Such programs that are always active on your system are also called ""background applications."" In some cases, they may be the cause of your program hanging or crashing. Therefore, we recommend that you end such background applications before you start the game. - If antivirus or crash guard programs are running on your system, you should close or disable them before starting the game. To do so, look for the program's icon in the Windows taskbar. Right-click on the icon and choose the appropriate option (""disable,"" ""close,"" or something similar). - As soon as you have disabled the antivirus and crash guard program, you should also end all background applications because they can also sometimes lead to problems if you are installing or running a PC game. You can read more about it in the ""How you can end all unnecessary background applications"" section. Cleaning the system","It can happen that other programs hog the system resources that the game needs to run properly. Not all of these programs make it obvious that they are active, and many are started automatically when the system boots up. Such programs, which are constantly active on your system, are also called ""background applications."" In some cases, they can be the reason why your program hangs or crashes. Therefore, we recommend that you close such background applications before starting the game. - If you have antivirus or crash guard programs running on your system, you should close or disable them before starting the game. To do this, find the program's icon in the Windows taskbar. Right-click the icon and select the appropriate option (""Disable"", ""Close"", or similar). - Once you have deactivated the antivirus and crash guard programs, you should also close general background applications, as these can sometimes cause problems when you install or run a PC game. You can find out more in the section ""How to close all unnecessary background applications"". Clean up the system,","It can happen that other programs excessively use up the system resources that the game needs to run properly; it's not always obvious when these programs are active, and many start automatically when the system boots up. Such programs, which are constantly active on your system, are also called ""background applications."" In some cases, they can be the reason why your program hangs or crashes. Therefore, we recommend that you close such background applications before starting the game. If you have Antivirus or crash protection programs running on your system, you should close or disable them before starting the game. To do this, find the program's icon in the Windows taskbar, right-click the icon, and select the appropriate option (""Disable,"" ""Close,"" or similar). Once you have deactivated the Antivirus and crash protection programs, you should also close general background applications, as these can sometimes cause problems when you install or run a PC game. You can find out more in the section ""How to close all unnecessary background applications.""","It can happen that other programs hog the system resources that the game needs to run properly. Not all of these programs make it obvious that they are active, and many are started automatically when the system boots up. Such programs, which are constantly active on your system, are also called ""background applications."" In some cases, they can be the reason why your program hangs or crashes. Therefore, we recommend that you close such background applications before starting the game. - If you have antivirus or crash guard programs running on your system, you should close or disable them before starting the game. To do this, find the program's icon in the Windows taskbar. Right-click the icon and select the appropriate option (""Disable"", ""Close"", or similar). - Once you have deactivated the antivirus and crash guard programs, you should also close general background applications, as these can sometimes cause problems when you install or run a PC game. You can find out more in the section ""How to close all unnecessary background applications"". Clean up the system.",0.4609,0.4203,0.4609,0.6919,0.5801,0.6948,0.6769,0.6943,0.6888,0.8864,0.8915,0.8863
406,"1. Hold down the CTRL and ALT keys on your keyboard and then press DEL. Windows Task Manager will now be shown. 2. To close a background application, switch to the ""Applications"" tab, click on the appropriate entry in the task list and then on the ""End Task"" button. Before you call the hotline","1. Hold down the CTRL and ALT keys on your keyboard, and then press DEL. The Windows Task Manager will now appear. 2. To terminate a background application, switch to the ""Applications"" tab, click on the corresponding entry in the task list, and then click the ""End Task"" button.","1. Hold down the CTRL and ALT keys on your keyboard, and then press DEL. The Windows Task Manager will now be displayed. 2. To terminate a background application, switch to the ""Applications"" tab, click on the corresponding entry in the task list, and then click the ""End Task"" button before you call the hotline.","Hold down the CTRL and ALT keys on your keyboard, then press DEL to open the Windows Task Manager. To terminate a background application, go to the ""Applications"" tab, select the application in the task list, and click ""End Task.""",0.6675,0.6751,0.3593,0.7691,0.8324,0.4138,0.6943,0.8075,0.6343,0.8935,0.8967,0.8706
415,"The information and illustrations found in this SERVICE MANUAL were correct at the time of printing. CHANGES MAY BE MADE BASED ON TECHNOLOGICAL ADVANCEMENTS, BUT THERE IS NO REQUIREMENT FOR RETROFITTING! When setting up, please note","The information and illustrations contained in this SERVICE MANUAL correspond to the status at the time of printing. WE RESERVE THE RIGHT TO MAKE CHANGES IN THE INTEREST OF TECHNICAL PROGRESS, HOWEVER, THERE IS NO OBLIGATION TO RETROFIT! Please observe the following during setup.","The information and illustrations in this Service Manual reflect the current status at the time of printing and are subject to changes made in the interest of technical progress; however, there is no obligation to retrofit. Please note the following during setup.","The information and illustrations in this SERVICE MANUAL reflect the current status at the time of printing. We reserve the right to make changes in the interest of technical progress, but assume no obligation to retrofit. Please note the following during setup.",0.2217,0.1439,0.2059,0.4503,0.4312,0.4312,0.6824,0.7091,0.7088,0.8345,0.7067,0.7174
416,Shipping damage,Transportation damage,Shipping Damage,Transportation damage,0.1495,0.1495,0.1495,0.9375,0.9375,0.9375,0.8862,0.946,0.8862,0.8098,0.9115,0.8098
417,"If external shipping damage is observed, it must immediately be reported, recorded on the shipping documents, and confirmed by the deliverer (shipper, Federal Railway, etc.). The manufacturer is not responsible for shipping damage! Voltage","If external transport damage is apparent, it must be reported immediately, noted on a transport document, and confirmed by the deliverer (freight forwarder, German Federal Railway, etc.). The manufacturer is not liable for transport damage! Mains voltage.","Any visible external transport damage must be reported immediately, noted on the transport document, and confirmed by the deliverer (e.g., freight forwarder, railway carrier); the manufacturer is not liable for transport damage.","If external transport damage is apparent, it must be reported immediately, noted on a transport document, and confirmed by the deliverer (freight forwarder, German Federal Railway, etc.); the manufacturer is not liable for transport damage! Mains voltage.",0.3974,0.2122,0.2434,0.7169,0.5481,0.6813,0.601,0.6638,0.6059,0.8237,0.8274,0.8208
418,"The device is configured for the voltage indicated on the label. For other voltages, the device transformer and monitor transformer must be converted. In accordance with VDE regulations, the device includes a protective ground terminal and is only meant for dry rooms. For the coin mechanism to function properly, the device must be set up levelly and vertically. SERVICE TIPS","The device is set for the mains voltage specified on the nameplate. For other mains voltages, the device transformer and the monitor transformer must be switched. According to VDE regulations, the device is equipped with a protective earth connection and is intended for dry rooms only. Proper functioning of the coin mechanism requires the device to be set up horizontally and vertically.","The device is set for the mains voltage specified on the nameplate; for other mains voltages, the device transformer and the monitor transformer must be switched. According to VDE regulations, the device is equipped with a protective earth connection and is intended for dry rooms only. Proper functioning of the coin mechanism requires the device to be installed level and perpendicular. SERVICE TIPS","The device is set for the mains voltage specified on the nameplate. For other mains voltages, the device transformer and the monitor transformer must be switched. According to VDE regulations, the device is equipped with a protective earth connection and is intended for dry rooms only. Proper functioning of the coin mechanism requires the device to be set up horizontally and vertically. SERVICE TIPS",0.2844,0.2578,0.3144,0.6263,0.6021,0.6662,0.6476,0.6894,0.6965,0.8361,0.8397,0.8421
420,"Unplug before repairing! When monitoring and testing: Do not touch conductive parts! Even if the device is turned off, the monitor can still conduct a dangerous voltage. CAUTION, HIGH VOLTAGE! The positive terminals of the cathode-ray tubes are about 20,000 volts. Only replace fuses with ones with the same rating! A burned fuse indicates that a component was overloaded. If a fuse is replaced with one with a higher rating, it can cause serious damage. Only replace components with original replacement parts. Never remove printed circuit boards/connections while the device is powered on. SERVICE MANUAL QIX","Disconnect the power plug before repair! During monitoring and testing: do not touch voltage-carrying parts! Even when the device is switched off, the monitor can still carry dangerous voltage. WARNING, HIGH VOLTAGE! Approximately 20,000 volts are present at the anode connection of the picture tube. Only replace fuses with ones of the same values! A blown fuse indicates an overload of a component. Replacing the fuse with a higher value can cause serious damage. Only replace components with original spare parts. Never remove printed circuits/connections when the device is switched on.","Before repair, disconnect the power plug! During monitoring and testing, do not touch voltage-carrying parts! Even when the device is switched off, the monitor can still carry dangerous voltage. WARNING, HIGH VOLTAGE! Approximately 20,000 volts are present at the anode connection of the picture tube. Replace fuses only with those of the same value! Using a fuse with a higher value can cause serious damage. Replace components only with original spare parts. Never remove printed circuits or connections while the device is powered on.","Disconnect the power plug before repair! During inspection and testing, do not touch live parts! Even when switched off, the monitor may still carry dangerous voltage. WARNING, HIGH VOLTAGE! Approximately 20,000 volts are present at the anode connection of the picture tube. Replace fuses only with those of the same rating! A blown fuse indicates a component overload. Replacing the fuse with one of a higher rating can cause serious damage. Replace components only with original spare parts. Never remove printed circuits/connections while the device is switched on. SERVICE MANUAL QIX",0.327,0.2572,0.2586,0.5957,0.5774,0.5753,0.5942,0.5766,0.6353,0.85,0.8378,0.8448
423,"The QIX game can test itself; it makes data available and demonstrates that circuits and control systems are operating correctly. For additional information, see ""Service Program."" The volume can be adjusted with the volume control (VOLUME) on the data/sound PC board.","The QIX game is able to test itself, provides data, and demonstrates that circuits and controls are working correctly. See ""Service Program"" for more information. The volume can be adjusted using the volume control (VOLUME) on the Data/Sound PC board.","The QIX game can test itself, provide data, and demonstrate that its circuits and controls operate correctly. See ""Service Program"" for more information. The volume can be adjusted using the VOLUME control on the Data/Sound PC board.","The QIX game can test itself, provide data, and demonstrate that circuits and controls are working correctly. See ""Service Program"" for more information. The volume can be adjusted using the volume control (VOLUME) on the Data/Sound PC board.",0.3799,0.255,0.3962,0.7199,0.7252,0.7524,0.8035,0.7896,0.8066,0.8791,0.8738,0.8807
429,"Function: Revert to factory settings (until text is green), advance 1 step (when text glows green) programming and test switch: Down","Function: Factory reset (until the lettering turns green), Increment list by 1 step (when the lettering illuminates green) Programming and Test Switch: Down","Function: Factory setting (until the lettering turns green), advance the list by one step (when the lettering illuminates green). Programming and Test Switch: Down.","Function: Factory reset (until lettering turns green), Increment list by 1 step (when lettering illuminates green) Programming and Test Switch: Down",0.1601,0.1448,0.1722,0.5831,0.593,0.5886,0.6635,0.6757,0.6604,0.7988,0.8305,0.7919
430,Function: Go back 1 step,Function: Backward counting by 1 step,Function: Counting backward by one step,Function: Count down by 1.,0.0988,0.0773,0.0773,0.6189,0.6189,0.1,0.5937,0.6074,0.4516,0.7574,0.7586,0.6625
437,"""Difficulty"": Difficulty level of gameplay",Difficulty,Difficulty level of the gameplay,Difficulty level of the gameplay,0.0002,0.1568,0.1568,0.1087,0.75,0.75,0.452,0.7981,0.7981,0.6652,0.8983,0.8983
440,"at ""1"" tabletop device","""With '1' table device""",For a table device.,"With a ""1"" table device",0.0393,0.044,0.1757,0.0,0.0,0.2439,0.4886,0.3414,0.5541,0.6452,0.5752,0.67
456,Fast delivery and good manufacturing,Fast delivery and good workmanship.,Fast delivery and high-quality workmanship.,Fast delivery and good quality.,0.5081,0.2021,0.5081,0.7938,0.5889,0.7938,0.8136,0.862,0.7882,0.9165,0.8883,0.9257
460,"Unfortunately, too big for under 1 year",Unfortunately too big for under 1 year olds.,"Unfortunately, too big for babies under one year old.","Unfortunately, it's too big for children under 1 year old.",0.6105,0.3816,0.1469,0.8431,0.9609,0.9212,0.8233,0.8006,0.8046,0.9049,0.8728,0.8661
463,"Here, I have allowed myself to be dazzled by the sometimes-exaggerated reviews. I would like to say in advance, that I already use 2 Lowepro backpacks. One is very large (to store equipment), and a fairly small one for the most important everyday items that you usually take with you. Because I just bought the Sigma 70-200 2.8, the smaller Lowepro is now too small, and I needed a replacement. On Prime Day, I got this backpack for a really affordable price (about 29 euros) and I was actually very happy with this purchase, if only I had read some of the reviews first. When the backpack arrived yesterday, the disillusionment followed: the backpack is not bad for less than 30 euros, you can't say that. But that it (as was written in many of the reviews) can be compared to well-known products that are sold for much higher prices .... People, that is simply not true! I was really hoping that this would be true, but that is not true. The padded sides are much thinner and do not offer as much protection as my Lowepro. And the dividers inside are of a different caliber and considerably sloppier. Overall, the feel of this backpack cannot be compared to my Lowepro. Ever the zippers and the materials used in the compartments for the small items, aren't even high quality. That is why I have decided to return the backpack. When I purchase equipment for many thousands of euros, then I should also spend money on a decent backpack. In this case quality also apparently has a price. For someone who does not want to spend a lot of money, this is probably a good backpack, just not for me. And it's not like this was a hard decision for me to. As I was unpacking the backpack, I knew in about 2 minutes that it would be going back. What I really liked, was the color of the interior. I'm sure you can find things a lot faster than with a gray interior. For someone who has different requirements for a backpack, this backpack is certainly a good thing; however, mine is going back.","I think I was blinded by the partly effusive reviews here. Let me preface this by saying that I already have 2 Lowepro backpacks in use. A very large one (for storing equipment) and a fairly small one for the most important, everyday things you just want to take with you. Because I just bought the Sigma 70-200 2.8, the small Lowepro has finally become too small and I need a replacement. On Prime Day, I purchased this backpack for a really very affordable price (just under 29 EUR) and was actually very happy with the purchase, having read many of the reviews beforehand. When the backpack arrived yesterday, I was disillusioned: For under 30 EUR, the backpack isn't bad, you can't say that. But to say that it can compete with the well-known products, which are sold at much higher prices (as written in many reviews).... Guys, that's simply not true! I really hoped that it would be, but that's not the case at all. The padded walls are much thinner and do not offer the same protection as my Lowepro. Also, the dividers inside are of a different caliber, much flimsier. Overall, the feel of this backpack cannot be compared to my Lowepro. The zippers and the materials of the compartments for the small items are not exactly high-quality either. Therefore, I have decided that the backpack will be returned. If I buy equipment for many thousands of EUR, then unfortunately I also have to spend the money on a decent backpack. Quality apparently does have its price here. For someone who doesn't want to spend a lot of money, the backpack is definitely a good choice, but not for me. And it's not like the decision was difficult. When I unpacked the backpack, I knew after 2 minutes that it was going back. What I liked was the color inside. You can definitely find your things much faster here than with a gray interior. For someone who has different demands on a backpack, the backpack is definitely a great thing, but mine is going back.","I think I was blinded by the partly effusive reviews here. I should mention that I already have 2 Lowepro backpacks in use: a very large one for storing equipment and a fairly small one for the most important, everyday things you just want to take with you. Because I just bought the Sigma 70-200 2.8, the small Lowepro has finally become too small, and I need a replacement. On Prime Day (Angebotstag), I purchased this backpack for a really very affordable price (just under 29 EUR) and was actually very happy with the purchase, having read many of the reviews beforehand. When the backpack arrived yesterday, I was disappointed: for under 30 EUR, the backpack isn't bad; you can't say that. But to say that it can compete with the well-known products, which are sold at much higher prices (as written in many reviews)... That simply isn't the case! I really hoped that it would be, but that's not the case at all. The padded walls are much thinner and do not offer the same protection as my Lowepro. Also, the interior dividers are also of a lower quality and feel flimsier. Overall, this backpack doesn't feel as good as my Lowepro. The zippers and the materials of the compartments for the small items are not exactly high-quality either. Therefore, I'm returning the backpack. If I buy equipment for many thousands of EUR, then unfortunately I also have to spend the money on a decent backpack. It seems quality comes at a price. For someone who doesn't want to spend a lot of money, the backpack is definitely a good choice, but not for me. And it wasn't a difficult decision. When I unpacked the backpack, I knew after 2 minutes that it was going back. What I liked was the color inside. You can definitely find your things much faster here than with a gray interior. This backpack might be suitable for someone with different needs, but I'm returning mine.","I think I was blinded here by the sometimes over-the-top reviews. I'd like to preface this by saying that I already use 2 Lowepro backpacks: a very large one (for storing equipment) and a fairly small one for the most important everyday things you just want to take with you. Now that I've bought the Sigma 70-200 2.8, the small Lowepro has finally become too small, and I need a replacement. I purchased this backpack on Prime Day for a very affordable price (just under 29 EUR) and was actually very happy with the purchase, having read many of the reviews beforehand. When the backpack arrived yesterday, disillusionment followed: For under 30 EUR, the backpack isn't bad; you can't say that. But to say that it can compete with the well-known products sold at much higher prices (as many reviews claim)... Guys, that's simply not true! I really hoped that would be the case, but it's not at all. The padded walls are much thinner and don't offer the same protection as my Lowepro. Also, the dividers inside are of a different quality, much flimsier. Overall, the feel of this backpack is not comparable to my Lowepro. The zippers and the materials of the compartments for small items aren't exactly high-quality either. Therefore, I've decided that the backpack will be returned. If I buy equipment worth many thousands of EUR, then unfortunately I also have to spend the money on a decent backpack. Quality apparently does have its price here. For someone who doesn't want to spend a lot of money, the backpack is definitely a good choice, but not for me. And it's not as if the decision was difficult. When I unpacked the backpack, I knew after 2 minutes that it was going back. What I liked was the color inside. You can definitely find your things much faster here than with a gray interior. For someone who has different demands for a backpack, this backpack is definitely a great thing, but mine is going back.",0.4139,0.3396,0.3648,0.5508,0.4682,0.5558,0.6873,0.6478,0.6876,0.8737,0.8602,0.8724
466,"Man ruins everything, does not appreciate anything, and does not learn anything! First of all: The movie is not aaaas bad as many write. Obviously, the story is completely made up, and always follows the same concept F. Once you have seen the beginning, you know what the ending is. And the message is always the same: Man destroys everything, does not appreciate anything, and does not learn anything! And that is exactly what the movie wants to tell us! How often did I think while watching this movie ( and that even though I know that it is only a movie, and the animals are computer generated) : Oh my God, the poor animals, it made me tear up a lot. That is why Jurassic World: Fallen Kingdom is really well made. It is only a shame that people do not understand the message behind the movie, even though it is a mainstream movie. We are consistently destroying animals and the environment and in the end our planet and ourselves. From greed and profiteering, and from stupidity and arrogance ! Sympathy for the environment and living things :wrong. 4 stars, because the movie well made, but unfortunately, made with the same principles, otherwise, it would have gotten 5 stars. Still a well-made popcorn movie.","Humans destroy everything, appreciate nothing, and learn nothing! First of all: the movie isn't *that* bad, as many write. Sure, the story is totally contrived and conceived according to the same old formula. Once you've seen the beginning, you know how it ends. And the message is always the same: Humans destroy everything and appreciate nothing and learn nothing! And that's exactly what the film wants to tell us! How often did I think during the movie (even though I know it's just a movie and the animals are from the computer): Oh my God, the poor animals, it often brings tears to your eyes. Therefore, Jurassic World: Fallen Kingdom is really well made. It's just a shame that humans simply don't get the message behind the film, even though it's a mainstream film. We consistently destroy animals, the environment and ultimately our planet and ourselves. Out of greed and profit, and out of stupidity and arrogance! Empathy for the environment and living beings: nonexistent. 4 stars, because the film is well made, but unfortunately always follows the same principle, otherwise it would have been 5 stars. Still, well-made popcorn cinema.","Humans destroy everything, appreciate nothing, and learn nothing! First of all: the movie isn't as bad as many write. Sure, the story is totally contrived and follows the same old formula. Once you've seen the beginning, you know how it ends. And the message is always the same: humans destroy everything, appreciate nothing, and learn nothing! And that's exactly what the film wants to tell us! How often did I think during the movie (even though I know it's just a movie and the animals are from the computer): Oh my God, the poor animals; it often brought tears to my eyes. Therefore, Jurassic World: Fallen Kingdom is really well made. It's just a shame that humans simply don't get the message behind the film, even though it's a mainstream film. We consistently destroy the animals, the environment, and ultimately our planet and ourselves out of greed, profit, stupidity, and arrogance! Empathy for the environment and living beings: nonexistent. 4 stars, because the film is well made but unfortunately always follows the same principle; otherwise, it would have been 5 stars. Still, well-made popcorn cinema.","Humans destroy everything, appreciate nothing, and learn nothing! First of all, the movie isn't *that* bad, as many say. Sure, the story is totally contrived and conceived according to the same old formula, so once you've seen the beginning, you know how it ends. And the message is always the same: Humans destroy everything, appreciate nothing, and learn nothing! And that's exactly what the film wants to tell us! How often did I think during the movie (even though I know it's just a movie and the animals are from the computer): Oh my God, the poor animals; it often brings tears to your eyes. Therefore, Jurassic World: Fallen Kingdom is really well made. It's just a shame that humans simply don't get the message behind the film, even though it's a mainstream film. We consistently destroy animals, the environment, and ultimately our planet and ourselves, out of greed and profit, and out of stupidity and arrogance! Empathy for the environment and living beings: nonexistent. I give it 4 stars because the film is well made but unfortunately always follows the same principle; otherwise, it would have been 5 stars. Still, it's well-made popcorn cinema.",0.3817,0.3666,0.3441,0.541,0.5177,0.5022,0.6025,0.6214,0.6185,0.8129,0.813,0.8058
480,"The color was chipped in a few places and if you just went over it with your hand the color came off right away in some places. We wanted it to be picked up for free because we did not want it anymore , but unfortunately only if we paid. they would only replace the damaged parts but what if both dressers were damaged. Bad service from the manufacturer Amazon took care of all of this for us and returned our money. PRAISE to Amazon","In a couple of places, the paint was chipped, and even just running your hand over it would cause the paint to come off in some areas. We wanted to have them picked up for free because we didn't want them anymore, but unfortunately, that was only possible at our own expense. They would only replace the damaged parts, but how when both chests of drawers were damaged? Poor service from the manufacturer. Amazon took care of everything for us and refunded our money. A praise to Amazon.","In a couple of places, the paint was chipped, and even just running your hand over it would cause the paint to come off in some areas. We wanted to have them picked up for free because we didn't want them anymore, but unfortunately, that was only possible at our own expense. They would only replace the damaged parts, but how could they when both chests of drawers were damaged? The manufacturer provided poor service; Amazon took care of everything for us and refunded our money. Praise to Amazon.","In a couple of places, the paint was chipped, and even just running your hand over it would cause the paint to come off in some areas. We wanted to have them picked up for free because we didn't want them anymore, but unfortunately, that was only possible at our own expense. They would only replace the damaged parts, but how is that possible when both chests of drawers were damaged? Poor service from the manufacturer. Amazon took care of everything for us and refunded our money. Praise for Amazon.",0.2462,0.2258,0.2394,0.545,0.5364,0.5381,0.6673,0.6664,0.6781,0.7811,0.7731,0.7798
484,- Doors slam because of magnets (may be able to fix this with rubber stoppers) - some unclean spots,- Doors slam shut due to magnets (can perhaps be compensated with rubber stoppers) - some unclean spots,The doors slam because of magnets (this can maybe be fixed with rubber stoppers); there are also some unclean spots.,Doors slam shut due to magnets (this can perhaps be compensated for with rubber stoppers) - some unclean spots.,0.4385,0.3071,0.3897,0.6683,0.5489,0.5518,0.7888,0.7955,0.7687,0.8828,0.8755,0.8362
485,"- included anchors are way too small and are loose (I did not have any others and since there was no other trophy in the house, I stuck it together with craft glue) - the support for the removable shelf is a little loose (I wrapped paper around it to level it) Conclusion: If it did not look so good and have such good dimensions, I would give it fewer stars, since you have to adjust everything to really be happy. Besides, as a result, I think it is a little too expensive.","- The included dowels are much too small and wobbly (I didn't have any others and, since there was no goblet in the house, I glued them in place with craft glue) - the supports for the shelf wobble a bit (I wrapped a little paper around them and balanced it out). Conclusion: If it didn't look so good and have such good dimensions, I would give it fewer stars, because you have to make everything fit to be truly satisfied. Also, I think it's a bit too expensive for that.","The included dowels are much too small and wobbly (I didn't have any others, and since there was no trophy in the house, I glued them in place with craft glue); the supports for the shelf wobble a bit (I wrapped some paper around them to stabilize them). Conclusion: if it didn't look so good and have such good dimensions, I would give it fewer stars because you have to adjust everything to be truly satisfied; also, I think it's a bit too expensive for that.","- The included dowels are much too small and wobbly (I didn't have any others and, because there was no trophy in the house, I glued them in place with craft glue) - the supports for the shelf wobble a bit (I wrapped a little paper around them and balanced it out). Conclusion: If it didn't look so good and have such good dimensions, I would give it fewer stars, because you have to make everything fit to be truly satisfied. Also, I think it's a bit too expensive for what it is.",0.3961,0.3822,0.3912,0.6301,0.5849,0.6491,0.5899,0.6744,0.6775,0.7658,0.7986,0.7841
486,The coffee tastes good to me....but,I like the taste of the coffee...but,"I like the taste of the coffee, but...",I like the coffee... but,0.0285,0.0251,0.0348,0.1639,0.1613,0.0847,0.6985,0.7227,0.6634,0.816,0.8266,0.7894
487,"... there are only 3 stars. The taste is subjectively good, but in my opinion the original capsules are better (but also significantly more expensive). Otherwise I would have given 5*. Unfortunately, the coffee does not run through consistently (if at all!). And the additional plastic garbage (individually wrapped see photo) gets a one-star deduction from me. I hope the manufacturer changes this and gets full points soon.","...there are only 3 stars. The taste is subjectively good, but in my opinion the original capsules are better (but also significantly more expensive). In that respect, I would have given 5 stars. Unfortunately, the coffee doesn't flow through evenly (if at all!). Also, the additional plastic waste (individually wrapped, see photo) means a star deduction for me. I hope the manufacturer changes this and soon gets full marks.","There are only 3 stars. The taste is subjectively good, but in my opinion, the original capsules are better (though also significantly more expensive). Otherwise, I would have given 5 stars. Unfortunately, the coffee doesn't flow through evenly (if at all!). The additional plastic waste (individually wrapped, see photo) also led to a star deduction. I hope the manufacturer changes this and soon gets full marks.","...I'm giving it only 3 stars. The taste is subjectively good, but in my opinion, the original capsules are better (though also much more expensive). I would have given 5 stars in that regard. Unfortunately, the coffee doesn't flow through evenly, if at all. The additional plastic waste (individually wrapped, see photo) also warrants a star deduction. I hope the manufacturer changes this and soon earns a perfect score.",0.6268,0.5683,0.4564,0.7676,0.723,0.618,0.7619,0.7597,0.7214,0.8241,0.8331,0.8199
